rank,percent_late,late_observations,on_time_observations,line_information,schedule_year
76,0.067208234522428,2664.0,36974.0,93L: N Colorado Blvd Limited,2024,
77,0.0587788646210193,2632.0,42146.0,66: Arapahoe Road,2024,
78,0.0560597788999591,1643.0,27665.0,72: 72nd Avenue,2024,
79,0.0540333010022632,1337.0,23407.0,139: Quincy Avenue,2024,
80,0.0539785327774328,1217.0,21329.0,520: Brighton,2024,
81,0.0514905149051491,1767.0,32550.0,120L: 120th Avenue Limited,2024,
82,0.0504023718763236,238.0,4484.0,0L: South Broadway Limited,2024,
83,0.0436639201299092,1452.0,31802.0,135: Smoky Hill Road,2024,
84,0.043055997548413,3653.0,81190.0,133: Hampden/Tower,2024,
85,0.0399735954232067,1090.0,26178.0,88L: Thornton/Commerce City Limited,2024,
86,0.0347690284399145,846.0,23486.0,112: West 112th Avenue,2024,
87,0.0336107306231101,2601.0,74785.0,130: Yale / Buckley,2024,
